"Name","Quantity","Price (per part)","Link"
"goBILDA 3607 Series Disc Wheel (14mm Bore, 120mm Diameter, Black)","2","$4.49","https://www.gobilda.com/3607-series-disc-wheel-14mm-bore-120mm-diameter-black-2-pack/"
"goBILDA 4-Bar Odometry Pack (2 Pods, 1 Pinpoint Computer)","1","$279.99","https://www.gobilda.com/4-bar-odometry-pack-2-pods-1-pinpoint-computer/"
"goBILDA 1309 Series Sonic Hub (8mm REX® Bore)","4","$7.99","https://www.gobilda.com/4-bar-odometry-pack-2-pods-1-pinpoint-computer/"
"goBILDA 8mm REX® Shaft with E-Clip (Stainless Steel, 40mm Length)","2","$4.09","https://www.gobilda.com/8mm-rex-shaft-with-e-clip-stainless-steel-40mm-length/"
"M4 Nuts and Bolts","29 (# of bolts, buy an equal amount of nuts)","$0.03","https://www.amazon.com/VGBUY-312Pcs-Screws-25-50mm-Assortment/dp/B0DD7D6VP5/"
"M3 Nuts and Bolts","4 (# of bolts, buy an equal amount of nuts)","$0.02","https://www.amazon.com/VGBUY-312Pcs-Screws-25-50mm-Assortment/dp/B0D14BC8QS/"
"Arduino Uno R3","1","$14.99","https://www.amazon.com/ELEGOO-Board-ATmega328P-ATMEGA16U2-Compliant/dp/B01EWOE0UU/"
"30T goBILDA Brass Servo Gear","1","$10.99","https://www.gobilda.com/2305-series-brass-mod-0-8-servo-gear-25-tooth-spline-30-tooth/"
"goBILDA Super Speed Servo","2","$36.99","https://www.gobilda.com/2000-series-dual-mode-servo-25-4-super-speed/"
"REV 39mm Tensioning Bushing","4","$1.50","https://www.revrobotics.com/rev-41-1702/"
"18mmx9mm Bubble Level","1","$0.95","https://www.aliexpress.us/item/3256808611329580.html"
"Steel Caster Wheels","1","$2.50","https://www.amazon.com/dp/B0C69FYKC3/"
"DC Motor Rotary Quadrature Encoder 600P/R","2","$18.99","https://www.amazon.com/dp/B07MX1SYXB/"
"AA Battery Holder","1","$4.50","https://www.amazon.com/Thicken-Battery-Holder-Standard-Connector/dp/B07WP1CYYW/"
"AA NiMH Batteries","8","$1.60","https://www.amazon.com/AmazonBasics-Rechargeable-Batteries-8-Pack-Pre-charged/dp/B00CWNMV4G/"
"¼” Wooden Dowel","1","$0.12","https://www.amazon.com/Dowel-Rods-Natural-Projects-Hardwood/dp/B0CR7J7YBJ/"
"Total","","","$476.83"